Eye Direction,Emotion,Gesture
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,sad,No Hand Detected
Center,fear,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,sad,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,fear,No Hand Detected
Center,angry,No Hand Detected
Center,fear,No Hand Detected
Center,angry,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,sad,No Hand Detected
Center,fear,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,angry,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,angry,No Hand Detected
Center,fear,No Hand Detected
Center,angry,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,fear,No Hand Detected
Center,sad,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,sad,No Hand Detected
Center,fear,No Hand Detected
Center,sad,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,angry,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,angry,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,sad,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,fear,No Hand Detected
Center,angry,No Hand Detected
